Artikel,Lok,Epoche,DCC,Consist,L/G,Schnittstelle,Decoder,F,Sound,Beschreibung,DH Version,Railcom
Tomix Gleisstaubsauger,,,1,,,loet,Trix 66838,,,,,
Challenger,Challenger,,4,,L,fest,Tsunami,,Tsunami (von Werk aus),,,
BigBoy,BigBoy,,5,,L,fest,Tsunami,,Tsunami (von Werk aus),,,
Arn,18 535,,6,,,nem651,DH10C,"F0,2,3,4,5",,,,
Mtx,Koef schw.,,7,,,fest,Trix,F0,,,,
Mtx,Koef RTS,,8,,,fest,Trix,F0,,,,
Mtx,185 545,,9,, Gw,nem651,DH10C,"F0,2,3,4,5",,,,
Mtx,S3/6 3643,,10,, G,nem651,DH10C,,,,,
Lil,E44 103,,11,, Lw,next18,ESU Lokpilot micro 4.0,"F0,2,3,4",,,,
Kat,Nohab Strab,,12,, L,nem651,Lenz Silver mini +,,,,,
Pik,E18 048,,13,, Lwr,plux12,DH16A,"F0,2,3,4",,Selbstbau plux12,,
Mtx,Re4/4 KbStsB,,14,, L,,DH05C,,,,,
Bra,BR261 Voigt,,15,, L,fest,DH10C,"F0,2,3,4,5,6,…",SH10A (von Werk aus),,,
Flm,VT 95/96,,16,, G,fest,Zimo MX648 Sound,,Zimo (von Werk aus),,,
Pik,ET442 Talent,,17,, L,plux12,DH10C,,,selbstbau plux12,,
Flm,BR94,,18,, Lw,-,ESU Lokpilot micro 4.0,"F0,2,3,4",,,,
Mtx,G3/4 KbStsB,,19,, L,nem651,DH10C,,,C abgeklemmt,,
Ht,Vectron,,20,, L,nem651,DH10C,,,"C abgeklemmt, Licht umgeb. weiss/rot separat",,
Mtx,ET87,,21,, G,nem651,DH10C,,,C abgeklemmt,,
Mtx,ICE 1,,22,, G,nem651,DH10C,,,C abgeklemmt,,
Mtx,BR44,,23,, G,nem651,DH10C,"F0,2,3,4,6,…",SH10A,Glockenanker,,
Mtx,EP5,,24,, L,nem651,DH10C,,,Licht umgebaut weiss/rot separat,,
Mtx,EP3/6,,25,, G,nem651,DH10C,,,C abgeklemmt,,
Mtx,E36,Ep2,26,, G,nem651,DH10C,,,C abgeklemmt,,
Kat,ET425,,27,, L,-,DH16A,"F0,1,2,3,4",,"Strom/Licht/Innenb. umgebaut, weiss/rot separat",,
Flm,BR64,,28,, G,-,DH05C,,,,,
Flm 707003,BR70.083,,29,, Lw,loet,DH05C,"F0,2,3,4",,Loetschnittstelle 2 Trennschnitte noetig,,
Kat 1765317,E9a #957,Ep3,30,30,Lw,digitrax,DN163K0A,F0,,,,
Kat 1765318,E9a #962,Ep3,31,30,Lw,digitrax,DN163K0A,F0,,,,
Kat 1765354,E9b #957B,Ep3,32,30,Lw,digitrax,DN163K0A,,,,,
Flm 7141,BR24047,Ep2,33,, Gw,-,DH05C,"F0,2,4",,selbsteinbau,,
Mtx 12591,BR120114-4,Ep5,34,, Lwr,loet,DH10C,"F0,2,3,4",,"C abgeklemmt, Lichtumbau",,
Mtx 12192,BR146245-6,Ep5,35,, Gw,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Mtx 12576,BR042095-0,Ep4,36,, Gw,nem651,ESU Lokpilot micro 4.0,"F0,2,3,4",,,,
Bra 61004,BR232675-9,Ep5,37,, Lw,loet,DH10C,"F0,2,3,4,5,6,…",SH10A,"C abgeklemmt, Licht+",,
Meh 55544,Vossloh G2000 European Bulls,Ep5,38,, Lwr,nem651,DH10C,"F0,2,3,4",,"C abgeklemmt, Lichtumbau w+r",,
Meh 53262,BlueTiger HVLE,Ep5,39,, Lwr,nem651,DH10C,"F0,2,3,4",,"C abgeklemmt, Lichtumbau w+r",,
Pik 40400,Mak G1206,Ep5,40,, Lw,nem651,DH05C,"F0,2,3,4",,,,
Mtx 12306,BR01.5,Ep3,41,, Gw,nem651,DH10C,"F0,2,3,4",,,,
Mtx 12392,BR218260-8,Ep6,42,, Lwr,mtc14,DH10C,"F0,2,3,4,5,6",,"F5=Fuehrerstandbel.vorn, F6=Fsb.hinten; CL abgk; Umbau Fsb.",,
Flm 7319,E19 01,Ep3,43,, Lw,nem651,DH10C,"F0,2,3,4",,C abgk.,,
Mtx 12460,V160003,Ep3,44,, Gw,nem651,DH10C,"F0,2,3,4",,C abgk.,,
Mtx 12584,BR362,Ep5,45,, -,nem651,DH10C,F4,,,,
Mtx 12583,BR361,Ep4,46,, -,nem651,DH10C,F4,,,,
Mtx 12312,BR18.5,Ep2,47,, Gw,nem651,DH10C,"F0,2,3,4",,Glockenanker,,
Mtx 12456,BR18.5,Ep3,48,, Gw,nem651,DH10C,"F0,2,3,4",,Glockenanker,,
Mtx 12195,Re482046-0,Ep5,49,, Gw,nem651,ESU Lokpilot micro 4.0,"F0,2,3,4",,CL abgk.,,
Flm 7370,E32 15,Ep3,50,, Gw,loet,DH05C,"F0,2,3,4",,CL abgk.; nem651 als Loetschn.,,
Mtx 12170,Obb1012,Ep5,51,, Lwr,nem651,DH10C,"F0,2,3,4",,CL abgk.; Lichtumbau w+r,,
Arn HN2078,DHG 700c,Ep5,52,, -,-,DH05C,F4,,,,
Flm 7098,BR98 811,Ep2,53,, Gw,-,DH05C,"F0,4",,,,
Flm 709902,BR98,Ep1,54,, Gw,-,DH05C,"F0,4",,,,
Mtx 12280,V80 005,Ep3,55,, Lwr,nem651,DH10C,"F0,2,3,4",,CL abgk. Lichtumbau w+r,,
Mtx 12276,BR01 004,Ep2,56,, Gw,nem651,DH10C,"F0,2,3,4",,C abgk.,,
Mtx 12319,BB II,Ep1,57,, Gw,-,DH05C,"F0,2,3,4",,,,
Htn H2866,V20 021,Ep3,58,, Lw,nem651,DH05C,"F0,2,3,4",,"Nem651 nur fuer Spezialdecoder, Angeloetet",,
Mtx 12287,Koef II DB,Ep5,59,, Lw,-,DH06A,"F0,1,4",,,,
Flm 7160,BR38.10,Ep3,60,, Lw,-,DH05C,"F0,4",,,,
Pik 40303,E18 41,Ep2,61,, Lwr,plux12,DH10C,"F0,2,3,4",,,,
Hob H2840,EG514,Ep1,62,, Lwr,loet,DH05C,"F0,2,3,4",,,,
Arn H2133,E04 22,Ep3,63,, Lwr,nem651,DH10C,"F0,2,3,4",,,,
Mtx 12433,SVT 04.5,Ep3,64,, Lwr,nem651,DH10C,"F0,1",,,,
Mtx 12585,Lint,Ep5,65,, Lwr,nem651,DH10C,"F0,1",,"Rotes Schlusslicht, Innenbel ergaenzt",,
Mtx 12599,BR120125-0,Ep4,66,, Lwr,nem651,DH10C,"F0,2,3,4",,"C abgeklemmt, Licht Umbau",,
Mtx 12284,BR285 HVLE,Ep6,67,, Gw,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Bra 61202,BR216-105-7 be/blau,Ep4,68,,Lw,nem651,DH10C,"F0,2,3,4",,,,
Mtx 12154,Ce 6/8 III  braun,Ep2,69,,Gw,,DH05C,"F0,2,3,4",,,,
Arn HN2005,Ce 6/8 II  gruen,Ep3,70,,Lw,nem651,ESU Lokpilot micro 4.0,"F0,2,3,4",,"NEM 651 ausbaut, angeloetet",,
Flm 721005,Br 112 DR,Ep4,71,,Lwr,nem651,DH10C,"F0,2,3,4",,,,
Kat K10819,EMD Class 66 Transpetrol,Ep5,72,,Lw,nem651,DH10C,"F0,2,3,4",,,,
Arn HN2026,E 10 216 blau,Ep3,73,,Lwr,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Mtx 11614,E 10 1310 ws/beige,Ep3,74,,Lwr,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Mtx 12569,BR 140 232-0,Ep5,75,,Lwr,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Arn HN2004,E19 12,Ep2,76,,Lwr,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Hob E10,E10,"Ep3,4,5",77,,Lw,loet,DH05C,"F0,4",,C abgeklemmt,,
Hob Taurus,Taurus,Ep5,78,,Lw,loet,DH05C,"F0,4",,C abgeklemmt,,
Flm 7075,DRG 78 011,Ep2,79,,Gw,loet,DH05C,"F0,4",,C abgeklemmt,,
Flm 7182,BR 50 493,Ep3,80,,Gw,loet,DH05C,"F0,4",,C abgeklemmt,,
Hob H4000,IV 1001 Badische blau,Ep1,81,,Lw,loet,DH10C,"F0,4",,C abgeklemmt,,
Flm 7376,BR103 150-9,Ep4,82,,Gw,loet,DH10C,"F0,4",,,,
Roc 23380,BR 80 015,Ep 3,83,,,,DH05C,F4,,C abgeklemmt,,
Roc 23392,E44 508,Ep 3,84,,Gw,,DH05C,"F0,2,3,4",,C abgeklemmt,,
Hob H23552,Klv 53,Ep 5,85,,,nem651,DH10C,F4,,C abgeklemmt,,
Flm 7126,BR 023 099-5,Ep 4,86,,Gw,,DH05C,"F0,2,3,4",,C abgeklemmt,,
Mtx 12565,BR 185 052-8,Ep 5,87,,Gw,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Bra 61201,BR 216 122-2  Wiebe,Ep 5,88,,Lw,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Flm 7324,BR 146 017-9,Ep 5,89,,Lw,nem651,DH10C,"F0,2,3,4,5,6,…",SH10A,C abgeklemmt,,
Bra 1384,BR 216 102-4,Ep 5,90,,Lw,nem651,DH10C,"F0,2,3,4",,C abgeklemmt,,
Flm 7346,BR 111 133-5,Ep 5,91,,Gw,,DH05C,"F0,2,3,4",,C abgeklemmt,,
Flm 7235,BR 218 390-3,Ep 4,92,,Gw,,DH05C,"F0,2,3,4",,C abgeklemmt,,
